"x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","x23","y23"
4.043262635,21.1033325436414,4.220663555,7.04430963364136,4.250230375,14.1846966636414,7.709548315,27.1053970036414,10.370562115,14.0664293836414,10.961898515,20.3198118136414,11.346267175,7.87218059364136,12.307188825,2.47623594364136,15.796073585,25.6861896436414,17.289197995,17.9101159836414,19.329308575,4.87114836364136,20.896350035,11.1836644336414,21.709437585,25.7453232836414,22.419041265,19.3441067536414,26.070543535,15.2934524136414,26.366211735,5.35900089364136,29.766396035,26.4992771936414,30.638617225,8.84788565364136,31.791723205,21.4137841536414,31.998690945,4.76766449364136,36.685031915,12.3515538236414,37.779004255,25.1392034736414,38.991243875,6.33470595364136
4.02849399364136,21.118101185,4.20589491364136,7.059078275,4.23546173364136,14.199465305,7.69477967364136,27.120165645,10.3557934736414,14.081198025,10.9471298736414,20.334580455,11.3314985336414,7.886949235,12.2924201836414,2.491004585,15.7813049436414,25.700958285,17.2744293536414,17.924884625,19.3145399336414,4.885917005,20.8815813936414,11.198433075,21.6946689436414,25.760091925,22.4042726236414,19.358875395,26.0557748936414,15.308221055,26.3514430936414,5.373769535,29.7516273936414,26.514045835,30.6238485836414,8.862654295,31.7769545636414,21.428552795,31.9839223036414,4.782433135,36.6702632736414,12.366322465,37.7642356136414,25.153972115,38.9764752336414,6.349474595
4.02849399364136,21.132884595,4.220663555,7.07384691635864,4.23546173364136,14.214248715,7.709548315,27.1349342863586,10.3557934736414,14.095981435,10.9471298736414,20.349363865,11.3314985336414,7.901732645,12.2924201836414,2.505787995,15.796073585,25.7157269263586,17.2744293536414,17.939668035,19.3145399336414,4.900700415,20.896350035,11.2132017163586,21.709437585,25.7748605663586,22.4042726236414,19.373658805,26.070543535,15.3229896963586,26.3514430936414,5.388552945,29.7516273936414,26.528829245,30.6238485836414,8.877437705,31.7769545636414,21.443336205,31.998690945,4.79720177635864,36.6702632736414,12.381105875,37.779004255,25.1687407563586,38.9764752336414,6.364258005
4.02849399364136,21.147668005,4.22067832364136,7.073861685,4.23546173364136,14.229032125,7.70956308364136,27.134949055,10.3557934736414,14.110764845,10.961898515,20.3641325063586,11.3314985336414,7.916516055,12.307188825,2.52055663635864,15.7960883536414,25.715741695,17.2744293536414,17.954451445,19.329308575,4.91546905635864,20.8963648036414,11.213216485,21.7094523536414,25.774875335,22.4042726236414,19.388442215,26.0705583036414,15.323004465,26.3514430936414,5.403336355,29.766396035,26.5435978863586,30.6238485836414,8.892221115,31.7769545636414,21.458119615,31.9987057136414,4.797216545,36.6702632736414,12.395889285,37.7790190236414,25.168755525,38.9764752336414,6.379041415
4.02849399364136,21.162451415,4.22067832364136,7.088645095,4.23546173364136,14.243815535,7.70956308364136,27.149732465,10.3557934736414,14.125548255,10.9619132836414,20.364147275,11.3314985336414,7.931299465,12.3072035936414,2.520571405,15.7960883536414,25.730525105,17.2744293536414,17.969234855,19.3293233436414,4.915483825,20.8963648036414,11.227999895,21.7094523536414,25.789658745,22.4042726236414,19.403225625,26.070543535,15.3230192336414,26.3514430936414,5.418119765,29.7664108036414,26.543612655,30.638617225,8.90698975635864,31.7769545636414,21.472903025,31.998690945,4.79723131364136,36.6702632736414,12.410672695,37.779004255,25.1687702936414,38.9764752336414,6.393824825
4.02849399364136,21.177234825,4.22067832364136,7.103428505,4.23546173364136,14.258598945,7.70956308364136,27.164515875,10.3557934736414,14.140331665,10.9619132836414,20.378930685,11.3314985336414,7.946082875,12.3072035936414,2.535354815,15.796073585,25.7305398736414,17.289197995,17.9840034963586,19.329308575,4.91549859364136,20.8963648036414,11.242783305,21.724220995,25.8044273863586,22.4042726236414,19.418009035,26.0557748936414,15.337787875,26.3514430936414,5.432903175,29.7664108036414,26.558396065,30.6386319936414,8.907004525,31.791723205,21.4876716663586,31.9839223036414,4.811999955,36.6702632736414,12.425456105,37.7642356136414,25.183538935,38.991243875,6.40859346635864
4.02849399364136,21.192018235,4.22067832364136,7.118211915,4.23546173364136,14.273382355,7.70956308364136,27.179299285,10.3557934736414,14.155115075,10.9619132836414,20.393714095,11.3314985336414,7.960866285,12.321972235,2.55012345635864,15.7813049436414,25.745308515,17.3039666363586,17.969234855,19.3145399336414,4.930267235,20.896350035,11.2427980736414,21.7242357636414,25.804442155,22.4042726236414,19.432792445,26.070543535,15.3525565163586,26.3514430936414,5.447686585,29.7664108036414,26.573179475,30.6386319936414,8.921787935,31.7917379736414,21.487686435,31.998690945,4.82676859635864,36.6702632736414,12.440239515,37.779004255,25.1983075763586,38.9912586436414,6.408608235
4.02849399364136,21.206801645,4.22067832364136,7.132995325,4.23546173364136,14.288165765,7.70956308364136,27.194082695,10.3557934736414,14.169898485,10.9619132836414,20.408497505,11.3314985336414,7.975649695,12.336755645,2.55012345635864,15.796073585,25.7600771563586,17.303981405,17.9692200863586,19.3145399336414,4.945050645,20.8815813936414,11.257566715,21.7242357636414,25.819225565,22.4042726236414,19.447575855,26.0705583036414,15.352571285,26.3514430936414,5.462469995,29.7664108036414,26.587962885,30.6386319936414,8.936571345,31.7917379736414,21.502469845,31.9987057136414,4.826783365,36.6702632736414,12.455022925,37.7790190236414,25.198322345,38.991243875,6.40862300364136
4.02849399364136,21.221585055,4.220663555,7.13301009364136,4.23546173364136,14.302949175,7.70956308364136,27.208866105,10.3557934736414,14.184681895,10.9619132836414,20.423280915,11.3314985336414,7.990433105,12.3367704136414,2.550138225,15.7960883536414,25.760091925,17.318764815,17.9692200863586,19.329308575,4.95981928635864,20.896350035,11.2723353563586,21.739004405,25.8339942063586,22.4042726236414,19.462359265,26.0705583036414,15.367354695,26.3514430936414,5.477253405,29.7664108036414,26.602746295,30.6386319936414,8.951354755,31.7917379736414,21.517253255,31.9987057136414,4.841566775,36.6702632736414,12.469806335,37.7790190236414,25.213105755,38.9764752336414,6.423391645
4.02849399364136,21.236368465,4.20589491364136,7.147778735,4.23546173364136,14.317732585,7.70956308364136,27.223649515,10.3557934736414,14.199465305,10.9619132836414,20.438064325,11.3314985336414,8.005216515,12.351539055,2.56490686635864,15.796073585,25.7601066936414,17.3335334563586,17.954451445,19.3293233436414,4.959834055,20.8963648036414,11.272350125,21.7390191736414,25.834008975,22.4042726236414,19.477142675,26.070543535,15.3673694636414,26.3514430936414,5.492036815,29.781179445,26.6175149363586,30.653400635,8.96612339635864,31.7917379736414,21.532036665,31.9987057136414,4.856350185,36.685031915,12.4845749763586,37.7790190236414,25.227889165,38.991243875,6.43816028635864
