"x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
11.834119705,15.3082358236414,13.356810935,23.7199961136414,17.570082785,1.13094563364136,18.531004435,9.74967366364136,19.181474475,28.2289361636414,20.748515935,18.7232035336414,24.281750925,4.41286265364136,28.273271625,19.0780053736414,29.042008945,12.1298026736414
11.8193510636414,15.323004465,13.3420422936414,23.734764755,17.5553141436414,1.145714275,18.5162357936414,9.764442305,19.1667058336414,28.243704805,20.7337472936414,18.737972175,24.2669822836414,4.427631295,28.2585029836414,19.092774015,29.0272403036414,12.144571315
11.834119705,15.3377731063586,13.356810935,23.7495333963586,17.5553141436414,1.160497685,18.5162357936414,9.779225715,19.181474475,28.2584734463586,20.7337472936414,18.752755585,24.2669822836414,4.442414705,28.2585029836414,19.107557425,29.0272403036414,12.159354725
11.8341344736414,15.337787875,13.3568257036414,23.749548165,17.570082785,1.17526632635864,18.5162357936414,9.794009125,19.1814892436414,28.258488215,20.748515935,18.7675242263586,24.2669822836414,4.457198115,28.2585029836414,19.122340835,29.0272403036414,12.174138135
11.834119705,15.3378026436414,13.3568257036414,23.764331575,17.5700975536414,1.175281095,18.5162357936414,9.808792535,19.1814892436414,28.273271625,20.7485307036414,18.767538995,24.281750925,4.47196675635864,28.2585029836414,19.137124245,29.0272403036414,12.188921545
11.8193510636414,15.352571285,13.356810935,23.7643463436414,17.5700975536414,1.190064505,18.5162357936414,9.823575945,19.1814892436414,28.288055035,20.7485307036414,18.782322405,24.2817656936414,4.471981525,28.2585029836414,19.151907655,29.0272403036414,12.203704955
11.8193510636414,15.367354695,13.3420422936414,23.779114985,17.5700975536414,1.204847915,18.5162357936414,9.838359355,19.1814892436414,28.302838445,20.7485307036414,18.797105815,24.281750925,4.47199629364136,28.2585029836414,19.166691065,29.0272403036414,12.218488365
11.8193510636414,15.382138105,13.356810935,23.7938836263586,17.5700975536414,1.219631325,18.5162357936414,9.853142765,19.1814892436414,28.317621855,20.763299345,18.8118744563586,24.2669822836414,4.486764935,28.2585029836414,19.181474475,29.0272403036414,12.233271775
11.8193510636414,15.396921515,13.3568257036414,23.793898395,17.584866195,1.23439996635864,18.5162357936414,9.867926175,19.1814892436414,28.332405265,20.7633141136414,18.811889225,24.281750925,4.50153357635864,28.2585029836414,19.196257885,29.0272403036414,12.248055185
11.8193510636414,15.411704925,13.3568257036414,23.808681805,17.5848809636414,1.234414735,18.5162357936414,9.882709585,19.1814892436414,28.347188675,20.7633141136414,18.826672635,24.2817656936414,4.501548345,28.273271625,19.2110265263586,29.0272403036414,12.262838595
11.8193510636414,15.426488335,13.371594345,23.8234504463586,17.5848809636414,1.249198145,18.5162357936414,9.897492995,19.1814892436414,28.361972085,20.7633141136414,18.841456045,24.2817656936414,4.516331755,28.2732863936414,19.211041295,29.0272403036414,12.277622005
11.8193510636414,15.441271745,13.3716091136414,23.823465215,17.584866195,1.24921291364136,18.5162357936414,9.912276405,19.1814892436414,28.376755495,20.7633141136414,18.856239455,24.2817656936414,4.531115165,28.273271625,19.2110560636414,29.0272403036414,12.292405415
11.8193510636414,15.456055155,13.3716091136414,23.838248625,17.5700975536414,1.263981555,18.5162357936414,9.927059815,19.1814892436414,28.391538905,20.7633141136414,18.871022865,24.2817656936414,4.545898575,28.2585029836414,19.225824705,29.042008945,12.3071740563586
11.834119705,15.4708237963586,13.3716091136414,23.853032035,17.5700975536414,1.278764965,18.531004435,9.94182845635864,19.1814892436414,28.406322315,20.7633141136414,18.885806275,24.2817656936414,4.560681985,28.273271625,19.2405933463586,29.0420237136414,12.307188825
11.8341344736414,15.470838565,13.3716091136414,23.867815445,17.5700975536414,1.293548375,18.5310192036414,9.941843225,19.1814892436414,28.421105725,20.7633141136414,18.900589685,24.2817656936414,4.575465395,28.2732863936414,19.240608115,29.0420237136414,12.321972235
11.8341344736414,15.485621975,13.3716091136414,23.882598855,17.570082785,1.29356314364136,18.5310192036414,9.956626635,19.1814892436414,28.435889135,20.7633141136414,18.915373095,24.2817656936414,4.590248805,28.2732863936414,19.255391525,29.0420237136414,12.336755645
11.8341344736414,15.500405385,13.386377755,23.8973674963586,17.5553141436414,1.308331785,18.545787845,9.97139527635864,19.1814892436414,28.450672545,20.763299345,18.9153878636414,24.2817656936414,4.605032215,28.2732863936414,19.270174935,29.056792355,12.3515242863586
11.8341344736414,15.515188795,13.3863925236414,23.897382265,17.570082785,1.32310042635864,18.5458026136414,9.971410045,19.1814892436414,28.465455955,20.7485307036414,18.930156505,24.2817656936414,4.619815625,28.2732863936414,19.284958345,29.0568071236414,12.351539055
11.8341344736414,15.529972205,13.3863925236414,23.912165675,17.5700975536414,1.323115195,18.5458026136414,9.986193455,19.181474475,28.4654707236414,20.7485307036414,18.944939915,24.2817656936414,4.634599035,28.2732863936414,19.299741755,29.0568071236414,12.366322465
11.8341344736414,15.544755615,13.3863925236414,23.926949085,17.5700975536414,1.337898605,18.560571255,10.0009620963586,19.1667058336414,28.480239365,20.748515935,18.9449546836414,24.2817656936414,4.649382445,28.2732863936414,19.314525165,29.0568071236414,12.381105875
11.8341344736414,15.559539025,13.3863925236414,23.941732495,17.584866195,1.35266724635864,18.5605860236414,10.000976865,19.1667058336414,28.495022775,20.7337472936414,18.959723325,24.2817656936414,4.664165855,28.2732863936414,19.329308575,29.071575765,12.3958745163586
