"x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10"
13.815096645,18.7971205836414,15.500405385,8.50786722364136,15.544755615,24.9618025536414,17.437032095,13.1942081936414,18.250119645,18.5014523836414,19.876294745,3.34845713364136,22.744276285,25.8783739736414,23.808681805,9.35052159364136,25.597474415,18.3092680536414,28.953308485,12.1445860836414
13.8003280036414,18.811889225,15.4856367436414,8.522635865,15.5299869736414,24.976571195,17.4222634536414,13.208976835,18.2353510036414,18.516221025,19.8615261036414,3.363225775,22.7295076436414,25.893142615,23.7939131636414,9.365290235,25.5827057736414,18.324036695,28.9385398436414,12.159354725
13.8003280036414,18.826672635,15.4856367436414,8.537419275,15.5299869736414,24.991354605,17.4222634536414,13.223760245,18.2353510036414,18.531004435,19.8615261036414,3.378009185,22.7295076436414,25.907926025,23.7939131636414,9.380073645,25.5827057736414,18.338820105,28.9385398436414,12.174138135
13.8003280036414,18.841456045,15.4856367436414,8.552202685,15.5299869736414,25.006138015,17.4222634536414,13.238543655,18.250119645,18.5457730763586,19.8615261036414,3.392792595,22.7295076436414,25.922709435,23.808681805,9.39484228635864,25.5827057736414,18.353603515,28.9385398436414,12.188921545
13.8003280036414,18.856239455,15.4856367436414,8.566986095,15.5299869736414,25.020921425,17.4222634536414,13.253327065,18.2501344136414,18.545787845,19.8615261036414,3.407576005,22.7295076436414,25.937492845,23.8086965736414,9.394857055,25.5827057736414,18.368386925,28.9385398436414,12.203704955
13.815096645,18.8710080963586,15.4856367436414,8.581769505,15.5299869736414,25.035704835,17.4222634536414,13.268110475,18.2501344136414,18.560571255,19.8615261036414,3.422359415,22.7295076436414,25.952276255,23.8086965736414,9.409640465,25.5827057736414,18.383170335,28.9385398436414,12.218488365
13.8151114136414,18.871022865,15.4856367436414,8.596552915,15.5299869736414,25.050488245,17.4222634536414,13.282893885,18.2501344136414,18.575354665,19.8615261036414,3.437142825,22.7295076436414,25.967059665,23.8086965736414,9.424423875,25.5827057736414,18.397953745,28.9385398436414,12.233271775
13.8151114136414,18.885806275,15.4856367436414,8.611336325,15.5299869736414,25.065271655,17.437032095,13.2976625263586,18.2501344136414,18.590138075,19.8615261036414,3.451926235,22.7295076436414,25.981843075,23.8086965736414,9.439207285,25.5827057736414,18.412737155,28.9385398436414,12.248055185
13.8151114136414,18.900589685,15.4856367436414,8.626119735,15.5299869736414,25.080055065,17.4370468636414,13.297677295,18.2501344136414,18.604921485,19.8615261036414,3.466709645,22.7295076436414,25.996626485,23.808681805,9.43922205364136,25.5827057736414,18.427520565,28.9385398436414,12.262838595
13.8151114136414,18.915373095,15.4856367436414,8.640903145,15.5299869736414,25.094838475,17.4370468636414,13.312460705,18.2501344136414,18.619704895,19.8615261036414,3.481493055,22.7295076436414,26.011409895,23.7939131636414,9.453990695,25.5827057736414,18.442303975,28.9385398436414,12.277622005
13.8151114136414,18.930156505,15.4856367436414,8.655686555,15.544755615,25.1096071163586,17.4370468636414,13.327244115,18.2501344136414,18.634488305,19.8615261036414,3.496276465,22.7295076436414,26.026193305,23.7939131636414,9.468774105,25.5827057736414,18.457087385,28.9385398436414,12.292405415
13.8151114136414,18.944939915,15.4856367436414,8.670469965,15.5447703836414,25.109621885,17.4370468636414,13.342027525,18.264903055,18.6492569463586,19.8615261036414,3.511059875,22.7295076436414,26.040976715,23.7939131636414,9.483557515,25.5827057736414,18.471870795,28.9385398436414,12.307188825
13.8151114136414,18.959723325,15.4856367436414,8.685253375,15.5447703836414,25.124405295,17.4370468636414,13.356810935,18.2649178236414,18.649271715,19.8615261036414,3.525843285,22.7295076436414,26.055760125,23.808681805,9.49832615635864,25.5827057736414,18.486654205,28.9385398436414,12.321972235
13.8151114136414,18.974506735,15.4856367436414,8.700036785,15.5447703836414,25.139188705,17.4370468636414,13.371594345,18.2649178236414,18.664055125,19.8615261036414,3.540626695,22.7295076436414,26.070543535,23.8086965736414,9.498340925,25.5827057736414,18.501437615,28.9385398436414,12.336755645
13.829880055,18.9892753763586,15.4856367436414,8.714820195,15.5447703836414,25.153972115,17.4370468636414,13.386377755,18.2649178236414,18.678838535,19.8615261036414,3.555410105,22.7295076436414,26.085326945,23.8086965736414,9.513124335,25.5827057736414,18.516221025,28.9385398436414,12.351539055
13.8298948236414,18.989290145,15.4856367436414,8.729603605,15.5447703836414,25.168755525,17.4370468636414,13.401161165,18.2649178236414,18.693621945,19.8615261036414,3.570193515,22.7295076436414,26.100110355,23.8086965736414,9.527907745,25.5827057736414,18.531004435,28.9385398436414,12.366322465
13.8298948236414,19.004073555,15.500405385,8.74437224635864,15.5447703836414,25.183538935,17.451815505,13.4159298063586,18.2649178236414,18.708405355,19.8615261036414,3.584976925,22.7295076436414,26.114893765,23.8086965736414,9.542691155,25.5827057736414,18.545787845,28.953308485,12.3810911063586
13.8298948236414,19.018856965,15.5004201536414,8.744387015,15.5447703836414,25.198322345,17.4518302736414,13.415944575,18.2649178236414,18.723188765,19.876294745,3.59974556635864,22.7295076436414,26.129677175,23.8086965736414,9.557474565,25.597474415,18.5605564863586,28.9533232536414,12.381105875
13.8298948236414,19.033640375,15.5004201536414,8.759170425,15.5447703836414,25.213105755,17.4518302736414,13.430727985,18.279686465,18.7379574063586,19.8763095136414,3.599760335,22.7295076436414,26.144460585,23.8086965736414,9.572257975,25.5974891836414,18.560571255,28.9533232536414,12.395889285
