"x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","x23","y23","x24","y24","x25","y25","x26","y26","x27","y27","x28","y28"
5.639870915,13.7707316463586,7.487797165,8.80350588635864,7.236479195,23.8086670363586,8.212184255,28.8941600763586,10.518396215,18.7083905863586,12.307188825,10.9618837463586,12.765474535,27.8593213763586,13.682045955,7.10341373635864,16.254359295,25.8044273863586,16.727428415,17.3335334563586,18.250119645,9.88269481635864,19.018856965,20.5711002463586,20.985050495,14.4507685063586,21.310285515,7.88693446635864,24.473935255,28.9237268963586,24.606985945,17.3778836863586,26.395778555,12.7063261263586,26.913197905,24.3113029763586,26.942764725,9.15830772635864,27.563667945,18.5605564863586,27.519317715,4.81198518635864,30.919502015,9.95661186635864,32.723078035,28.5393582363586,33.373548075,4.91546905635864,34.674488155,16.5647961363586,35.857160955,22.2859758063586,36.064128695,7.36951511635864,36.4780494063586,14.569050555
5.654654325,13.7707316463586,7.502580575,8.80350588635864,7.23649396364136,23.808681805,8.226967665,28.8941600763586,10.5331648563586,18.693621945,12.321972235,10.9618837463586,12.780257945,27.8593213763586,13.6820607236414,7.103428505,16.269142705,25.8044273863586,16.742211825,17.3335334563586,18.264903055,9.88269481635864,19.033640375,20.5711002463586,20.999833905,14.4507685063586,21.325068925,7.88693446635864,24.488718665,28.9237268963586,24.621769355,17.3778836863586,26.410561965,12.7063261263586,26.927981315,24.3113029763586,26.9427794936414,9.158322495,27.5784365863586,18.545787845,27.534101125,4.81198518635864,30.934285425,9.95661186635864,32.737861445,28.5393582363586,33.388331485,4.91546905635864,34.689271565,16.5647961363586,35.871944365,22.2859758063586,36.078912105,7.36951511635864,36.478064175,14.5690357863586
5.669437735,13.7707316463586,7.51734921635864,8.788737245,7.251262605,23.8234504463586,8.241751075,28.8941600763586,10.533179625,18.6936071763586,12.336755645,10.9618837463586,12.795041355,27.8593213763586,13.696829365,7.11819714635864,16.283926115,25.8044273863586,16.756995235,17.3335334563586,18.279686465,9.88269481635864,19.048423785,20.5711002463586,21.014617315,14.4507685063586,21.3250836936414,7.886949235,24.5034873063586,28.908958255,24.636552765,17.3778836863586,26.425345375,12.7063261263586,26.942764725,24.3113029763586,26.957548135,9.17309113635864,27.578451355,18.5457730763586,27.5341158936414,4.811999955,30.949068835,9.95661186635864,32.752644855,28.5393582363586,33.4031001263586,4.900700415,34.704054975,16.5647961363586,35.8719591336414,22.285990575,36.0789268736414,7.369529885,36.492847585,14.5690357863586
5.684221145,13.7707316463586,7.517363985,8.78872247635864,7.266046015,23.8234504463586,8.256534485,28.8941600763586,10.547963035,18.6936071763586,12.3367704136414,10.961898515,12.809824765,27.8593213763586,13.711612775,7.11819714635864,16.2839408836414,25.804442155,16.771778645,17.3335334563586,18.2797012336414,9.882709585,19.063207195,20.5711002463586,21.029400725,14.4507685063586,21.339852335,7.90171787635864,24.503502075,28.9089434863586,24.651336175,17.3778836863586,26.4401140163586,12.691557485,26.957548135,24.3113029763586,26.972331545,9.17309113635864,27.593234765,18.5457730763586,27.548884535,4.82676859635864,30.9490836036414,9.956626635,32.767428265,28.5393582363586,33.403114895,4.90068564635864,34.718838385,16.5647961363586,35.886727775,22.3007592163586,36.093695515,7.38429852635864,36.5076162263586,14.554267145
5.699004555,13.7707316463586,7.532147395,8.78872247635864,7.280829425,23.8234504463586,8.271317895,28.8941600763586,10.562746445,18.6936071763586,12.351539055,10.9766671563586,12.824608175,27.8593213763586,13.726396185,7.11819714635864,16.298709525,25.8192107963586,16.786562055,17.3335334563586,18.294469875,9.89747822635864,19.077990605,20.5711002463586,21.044184135,14.4507685063586,21.354635745,7.90171787635864,24.518285485,28.9089434863586,24.666119585,17.3778836863586,26.440128785,12.6915427163586,26.9575629036414,24.311317745,26.987114955,9.17309113635864,27.608018175,18.5457730763586,27.563667945,4.82676859635864,30.963852245,9.97139527635864,32.782211675,28.5393582363586,33.417898305,4.90068564635864,34.733621795,16.5647961363586,35.901511185,22.3007592163586,36.108478925,7.38429852635864,36.507630995,14.5542523763586
5.713787965,13.7707316463586,7.546930805,8.78872247635864,7.295612835,23.8234504463586,8.286101305,28.8941600763586,10.577529855,18.6936071763586,12.366322465,10.9766671563586,12.839391585,27.8593213763586,13.741179595,7.11819714635864,16.313492935,25.8192107963586,16.801345465,17.3335334563586,18.3092385163586,9.882709585,19.092774015,20.5711002463586,21.0589527763586,14.435999865,21.369419155,7.90171787635864,24.533068895,28.9089434863586,24.680902995,17.3778836863586,26.454912195,12.6915427163586,26.972331545,24.3260863863586,26.9871297236414,9.173105905,27.622801585,18.5457730763586,27.578451355,4.82676859635864,30.978635655,9.97139527635864,32.796995085,28.5393582363586,33.432681715,4.90068564635864,34.748405205,16.5647961363586,35.9015259536414,22.300773985,36.123262335,7.38429852635864,36.522414405,14.5542523763586
5.728571375,13.7707316463586,7.56169944635864,8.773953835,7.310396245,23.8234504463586,8.300884715,28.8941600763586,10.592313265,18.6936071763586,12.381105875,10.9766671563586,12.854174995,27.8593213763586,13.755963005,7.11819714635864,16.328276345,25.8192107963586,16.816128875,17.3335334563586,18.309253285,9.88269481635864,19.0927887836414,20.571115015,21.058967545,14.4359850963586,21.3694339236414,7.901732645,24.5478375363586,28.894174845,24.695686405,17.3778836863586,26.469695605,12.6915427163586,26.987114955,24.3260863863586,27.001898365,9.18787454635864,27.637584995,18.5457730763586,27.593234765,4.82676859635864,30.993419065,9.97139527635864,32.811778495,28.5393582363586,33.447465125,4.90068564635864,34.7631738463586,16.550027495,35.916294595,22.3155426263586,36.138045745,7.38429852635864,36.537197815,14.5542523763586
5.743354785,13.7707316463586,7.561714215,8.77393906635864,7.325179655,23.8234504463586,8.315668125,28.8941600763586,10.607096675,18.6936071763586,12.395889285,10.9766671563586,12.8541897636414,27.859336145,13.770746415,7.11819714635864,16.3282911136414,25.819225565,16.830912285,17.3335334563586,18.324036695,9.88269481635864,19.107557425,20.5858836563586,21.073750955,14.4359850963586,21.384202565,7.91650128635864,24.547852305,28.8941600763586,24.710469815,17.3778836863586,26.4844642463586,12.676774075,27.001898365,24.3260863863586,27.016681775,9.18787454635864,27.6523536363586,18.531004435,27.6080034063586,4.811999955,31.008202475,9.97139527635864,32.8265471363586,28.524589595,33.4622337663586,4.885917005,34.763188615,16.5500127263586,35.9310632363586,22.300773985,36.152829155,7.38429852635864,36.5519664563586,14.539483735
5.758138195,13.7707316463586,7.576497625,8.77393906635864,7.339963065,23.8234504463586,8.330451535,28.8941600763586,10.621880085,18.6936071763586,12.410672695,10.9766671563586,12.868958405,27.8741047863586,13.785529825,7.11819714635864,16.343059755,25.8339942063586,16.845695695,17.3335334563586,18.338820105,9.88269481635864,19.122340835,20.5858836563586,21.088534365,14.4359850963586,21.398985975,7.91650128635864,24.562635715,28.8941600763586,24.725253225,17.3778836863586,26.484479015,12.6767593063586,27.016681775,24.3260863863586,27.031465185,9.18787454635864,27.652368405,18.5309896663586,27.608018175,4.81198518635864,31.022985885,9.97139527635864,32.826561905,28.5245748263586,33.462248535,4.88590223635864,34.777972025,16.5500127263586,35.9310632363586,22.285990575,36.167612565,7.38429852635864,36.551981225,14.5394689663586
5.772921605,13.7707316463586,7.591281035,8.77393906635864,7.354746475,23.8234504463586,8.345234945,28.8941600763586,10.6366487263586,18.678838535,12.425456105,10.9766671563586,12.8837270463586,27.859336145,13.800313235,7.11819714635864,16.357843165,25.8339942063586,16.860479105,17.3335334563586,18.353603515,9.88269481635864,19.137124245,20.5858836563586,21.103317775,14.4359850963586,21.413769385,7.91650128635864,24.577419125,28.8941600763586,24.7400218663586,17.363115045,26.4992476563586,12.661990665,27.031465185,24.3260863863586,27.046248595,9.18787454635864,27.667151815,18.5309896663586,27.622801585,4.81198518635864,31.0230006536414,9.971410045,32.841345315,28.5245748263586,33.477031945,4.88590223635864,34.792755435,16.5500127263586,35.931078005,22.2859758063586,36.182395975,7.38429852635864,36.566764635,14.5394689663586
