"x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","x23","y23","x24","y24","x25","y25"
3.67366261635864,4.885917005,3.614543745,15.6926044836414,6.852110535,24.3408993336414,8.78872247635864,7.384313295,7.798248775,1.91446636364136,7.25127737364136,18.841456045,13.948147335,25.1983371136414,14.8499501136414,7.118211915,16.313492935,17.2892127636414,15.160386955,1.50053088364136,19.7136624663586,8.626119735,21.0737361863586,21.177234825,21.0885195963586,2.624055275,22.389474445,15.3525860536414,26.129677175,8.70005155364136,30.653400635,4.32413265635864,29.3228789663586,16.121308605,30.697750865,24.8731020936414,33.225713975,7.94609764364136,34.718838385,13.9777289236414,37.764220845,24.3261159236414,37.764220845,3.64412533364136,38.621658625,15.9587058636414,40.440018055,8.10871515364136,43.115815265,13.8890284636414
3.658893975,4.87114836364136,3.59977510364136,15.707373125,6.837327125,24.3408993336414,8.773953835,7.36954465364136,7.783465365,1.91446636364136,7.251262605,18.8414708136414,13.9481325663586,25.198322345,14.8499501136414,7.132995325,16.298709525,17.2892127636414,15.1456183136414,1.515299525,19.7136624663586,8.611336325,21.058967545,21.1624661836414,21.073750955,2.60928663364136,22.374691035,15.3525860536414,26.1296624063586,8.700036785,30.6534154036414,4.324147425,29.308110325,16.1065399636414,30.682967455,24.8731020936414,33.210930565,7.94609764364136,34.7040697436414,13.992497565,37.749437435,24.3261159236414,37.749437435,3.64412533364136,38.6216438563586,15.958691095,40.4400032863586,8.108700385,43.1010466236414,13.903797105
3.644110565,4.87114836364136,3.599760335,15.7073878936414,6.822543715,24.3408993336414,8.759170425,7.36954465364136,7.76869672364136,1.929235005,7.23649396364136,18.856239455,13.933363925,25.1835537036414,14.849935345,7.13301009364136,16.2986947563586,17.289197995,15.145603545,1.51531429364136,19.698893825,8.59656768364136,21.0441989036414,21.177234825,21.058967545,2.60928663364136,22.359907625,15.3525860536414,26.114893765,8.68526814364136,30.6534154036414,4.338930835,29.293326915,16.1065399636414,30.6681988136414,24.887870735,33.1961619236414,7.960866285,34.704054975,13.9925123336414,37.7346687936414,24.340884565,37.7346687936414,3.658893975,38.6216438563586,15.943907685,40.425234645,8.09393174364136,43.101031855,13.9038118736414
3.629327155,4.87114836364136,3.58499169364136,15.722156535,6.82252894635864,24.340884565,8.744387015,7.36954465364136,7.768681955,1.92924977364136,7.23649396364136,18.871022865,13.9333491563586,25.183538935,14.8351667036414,7.147778735,16.2986947563586,17.274414585,15.1308349036414,1.530082935,19.6841251836414,8.611336325,21.0441989036414,21.192018235,21.044184135,2.60928663364136,22.3598928563586,15.352571285,26.100110355,8.68526814364136,30.668184045,4.35369947635864,29.278543505,16.1065399636414,30.6681988136414,24.902654145,33.196147155,7.96088105364136,34.6892863336414,14.007280975,37.734654025,24.3408993336414,37.734654025,3.65890874364136,38.6216438563586,15.929124275,40.4252198763586,8.093916975,43.0862632136414,13.918580515
3.614543745,4.87114836364136,3.599760335,15.7369251763586,6.807760305,24.3261159236414,8.74437224635864,7.369529885,7.753898545,1.92924977364136,7.23649396364136,18.885806275,13.918580515,25.1687702936414,14.8351667036414,7.162562145,16.283926115,17.2596459436414,15.1308349036414,1.544866345,19.684110415,8.61135109364136,21.044184135,21.1920330036414,21.0441693663586,2.609271865,22.345124215,15.3378026436414,26.1000955863586,8.685253375,30.6681988136414,4.353714245,29.2785287363586,16.106525195,30.668184045,24.9026689136414,33.181363745,7.96088105364136,34.689271565,14.0072957436414,37.7198853836414,24.355667975,37.719870615,3.65890874364136,38.606875215,15.9143556336414,40.4252198763586,8.079133565,43.0862632136414,13.933363925
3.599760335,4.87114836364136,3.59977510364136,15.736939945,6.79299166364136,24.340884565,8.729603605,7.35476124364136,7.73912990364136,1.944018415,7.236479195,18.8858210436414,13.9185657463586,25.168755525,14.835151935,7.16257691364136,16.2839113463586,17.259631175,15.130820135,1.54488111364136,19.6840956463586,8.611336325,21.0441693663586,21.192018235,21.029400725,2.59450322364136,22.330340805,15.3378026436414,26.085326945,8.67048473364136,30.682967455,4.36848288635864,29.263760095,16.0917565536414,30.6681692763586,24.902654145,33.1665951036414,7.975649695,34.6745029236414,14.022064385,37.719870615,24.3556827436414,37.7051019736414,3.673677385,38.6068604463586,15.914340865,40.410451235,8.06436492364136,43.086248445,13.9333786936414
3.59974556635864,4.871133595,3.599760335,15.7369547136414,6.792976895,24.3408993336414,8.72958883635864,7.354746475,7.739115135,1.94403318364136,7.22171055364136,18.900589685,13.903797105,25.1539868836414,14.820368525,7.16257691364136,16.2839113463586,17.244847765,15.116036725,1.54488111364136,19.669327005,8.59656768364136,21.029400725,21.1772495936414,21.014617315,2.59450322364136,22.315557395,15.3378026436414,26.0853121763586,8.670469965,30.6829822236414,4.368497655,29.2637453263586,16.091741785,30.653400635,24.8878855036414,33.166580335,7.97566446364136,34.674488155,14.0220791536414,37.705087205,24.3556827436414,37.705087205,3.67369215364136,38.6068604463586,15.899557455,40.395667825,8.06436492364136,43.0714798036414,13.948147335
3.584976925,4.85636495364136,3.58499169364136,15.751723355,6.778193485,24.3408993336414,8.714820195,7.33997783364136,7.724331725,1.94403318364136,7.22171055364136,18.915373095,13.9037823363586,25.153972115,14.8055998836414,7.177345555,16.283926115,17.2448329963586,15.1012680836414,1.559649755,19.654543595,8.59656768364136,21.0293859563586,21.177234825,20.999833905,2.59450322364136,22.3155426263586,15.337787875,26.070543535,8.65570132364136,30.697750865,4.38326629635864,29.248976685,16.0769731436414,30.638617225,24.8878855036414,33.151796925,7.97566446364136,34.659704745,14.0220791536414,37.6903185636414,24.370451385,37.690303795,3.67369215364136,38.6068604463586,15.884774045,40.3956530563586,8.064350155,43.0714798036414,13.962930745
3.570193515,4.85636495364136,3.58499169364136,15.766506765,6.76342484364136,24.355667975,8.700036785,7.33997783364136,7.70956308364136,1.958801825,7.221695785,18.9153878636414,13.889013695,25.1392034736414,14.805585115,7.17736032364136,16.2986947563586,17.230064355,15.101253315,1.55966452364136,19.639760185,8.59656768364136,21.0293859563586,21.162451415,20.985050495,2.59450322364136,22.300773985,15.3230192336414,26.055760125,8.65570132364136,30.712534275,4.38326629635864,29.2489619163586,16.076958375,30.623833815,24.8878855036414,33.137013515,7.97566446364136,34.6449361036414,14.036847795,37.690303795,24.3704661536414,37.6755351536414,3.688460795,38.592091805,15.8700054036414,40.380884415,8.04958151364136,43.071465035,13.9629455136414
3.57017874635864,4.856350185,3.584976925,15.7665215336414,6.763410075,24.3556827436414,8.685253375,7.33997783364136,7.709548315,1.95881659364136,7.20692714364136,18.930156505,13.874230285,25.1392034736414,14.7908164736414,7.192128965,16.283926115,17.2152957136414,15.0864846736414,1.574433165,19.6397454163586,8.596552915,21.0293859563586,21.147668005,20.970267085,2.59450322364136,22.285990575,15.3230192336414,26.0557453563586,8.655686555,30.727317685,4.38326629635864,29.2489619163586,16.062174965,30.609050405,24.8878855036414,33.122230105,7.97566446364136,34.644921335,14.0368625636414,37.675520385,24.3704661536414,37.6755351536414,3.703244205,38.5920770363586,15.869990635,40.366101005,8.04958151364136,43.0566963936414,13.977714155
